Make\Model,Make,Model,YTD,position
Acura NSX,Acura,NSX,170,50
Acura RLX,Acura,RLX,1931,50
Acura ILX,Acura,ILX,11273,50
Acura TLX,Acura,TLX,30468,50
Acura MDX,Acura,MDX,51512,50
Acura RDX,Acura,RDX,63580,50
Alfa Romeo 4C,Alfa,Romeo,238,50
Alfa Romeo Giulia,Alfa,Romeo,11519,50
Alfa Romeo Stelvio,Alfa,Romeo,12043,50
A3,Audi,A3,18305,50
A4,Audi,A4,34311,50
A5,Audi,A5,25972,50
Audi R8,Audi,R8,927,50
Audi TT,Audi,TT,1289,50
Audi A8,Audi,A8,1599,50
Audi Q8,Audi,Q8,2029,50
Audi A7,Audi,A7,3852,50
Audi A6,Audi,A6,10561,50
Audi Q3,Audi,Q3,16828,50
Audi Q7,Audi,Q7,37417,50
Audi Q5,Audi,Q5,69978,50
BMW 8-Series,BMW,8-Series,223,50
BMW i8,BMW,I8,772,50
BMW 6-Series,BMW,6-Series,3762,50
BMW X4,BMW,X4,4323,50
BMW i3,BMW,I3,6120,50
BMW X6,BMW,X6,6862,50
BMW 7-Series,BMW,7-Series,8271,50
BMW 2-Series,BMW,2-Series,9208,50
BMW X2,BMW,X2,16154,50
BMW X1,BMW,X1,29057,50
BMW 4-Series,BMW,4-Series,31379,50
BMW 5-Series,BMW,5-Series,43937,50
BMW 3-Series,BMW,3-Series,44578,50
BMW X5,BMW,X5,45013,50
BMW X3,BMW,X3,61351,50
Buick Cascada,Buick,Cascada,4628,50
Buick Regal,Buick,Regal,14117,50
Buick LaCrosse,Buick,LaCrosse,15527,50
Buick Envision,Buick,Envision,30153,50
Buick Enclave,Buick,Enclave,49648,50
Buick Encore,Buick,Encore,93071,50
Cadillac XT4,Cadillac,XT4,7785,50
Cadillac CT6,Cadillac,CT6,9669,50
Cadillac ATS,Cadillac,ATS,10860,50
Cadillac CTS,Cadillac,CTS,11220,50
Cadillac XTS,Cadillac,XTS,17729,50
Cadillac Escalade,Cadillac,Escalade,36032,50
Cadillac XT5,Cadillac,XT5,60566,50
Chevrolet Blazer,Chevrolet,Blazer,27,50
Chevrolet Bolt,Chevrolet,Bolt,18020,50
Chevrolet Volt,Chevrolet,Volt,18306,50
Chevrolet Corvette,Chevrolet,Corvette,18789,50
Chevrolet Sonic,Chevrolet,Sonic,20613,50
Chevrolet Spark,Chevrolet,Spark,23603,50
Chevrolet Camaro,Chevrolet,Camaro,50963,50
Chevrolet Impala,Chevrolet,Impala,56557,50
Chevrolet Suburban,Chevrolet,Suburban,60633,50
Chevrolet Trax,Chevrolet,Trax,89917,50
Chevrolet Tahoe,Chevrolet,Tahoe,104152,50
Chevrolet Cruze,Chevrolet,Cruze,142618,50
Chevrolet Malibu,Chevrolet,Malibu,144542,50
Chevrolet Traverse,Chevrolet,Traverse,146264,50
Chevrolet Equinox,Chevrolet,Equinox,332621,50
Chrysler 200,Chrysler,200,1043,50
Chrysler 300,Chrysler,300,46593,50
Dodge Viper,Dodge,Viper,19,50
Dodge Dart,Dodge,Dart,389,50
Dodge Durango,Dodge,Durango,65947,50
Dodge Challenger,Dodge,Challenger,66716,50
Dodge Charger,Dodge,Charger,80226,50
Dodge Journey,Dodge,Journey,94096,50
Fiat 500L,Fiat,500L,1413,50
Fiat 124 Spider,Fiat,124,3515,50
Fiat 500X,Fiat,500X,5223,50
Fiat 500,Fiat,500,5370,50
Ford GT,Ford,GT,126,50
Ford C-Max,Ford,C-Max,6683,50
Ford Flex,Ford,Flex,20308,50
Ford Taurus,Ford,Taurus,40341,50
Ford Fiesta,Ford,Fiesta,51730,50
Ford EcoSport,Ford,EcoSport,54348,50
Ford Expedition,Ford,Expedition,54661,50
Ford Mustang,Ford,Mustang,75842,50
Ford Focus,Ford,Focus,114045,50
Ford Edge,Ford,Edge,134122,50
Ford Fusion,Ford,Fusion,173600,50
Ford Explorer,Ford,Explorer,261571,50
Ford Escape,Ford,Escape,272228,50
Genesis G70,Genesis,G70,358,50
Genesis G90,Genesis,G90,2136,50
Genesis G80,Genesis,G80,7446,50
GMC Yukon,GMC,Yukon,74678,50
GMC Acadia,GMC,Acadia,88622,50
GMC Terrain,GMC,Terrain,114311,50
Honda CR-Z,Honda,CR-Z,30,50
Honda Insight,Honda,Insight,12513,50
Honda Clarity FCV,Honda,Clarity,20174,50
Honda Fit,Honda,Fit,35030,50
Honda HR-V,Honda,HR-V,85494,50
Honda Pilot,Honda,Pilot,159615,50
Honda Accord,Honda,Accord,291071,50
Honda Civic,Honda,Civic,325760,50
Honda CR-V,Honda,CR-V,379021,50
Hyundai Nexo,Hyundai,Nexo,8,50
Hyundai Azera,Hyundai,Azera,629,50
Hyundai Veloster,Hyundai,Veloster,10871,50
Hyundai Ioniq,Hyundai,Ioniq,15076,50
Hyundai Accent,Hyundai,Accent,29090,50
Hyundai Kona,Hyundai,Kona,47090,50
Hyundai Sonata,Hyundai,Sonata,105118,50
Hyundai Santa Fe,Hyundai,Santa,117038,50
Hyundai Tuscon,Hyundai,Tuscon,153792,50
Hyundai Elantra,Hyundai,Elantra,200415,50
Infiniti QX70,Infiniti,QX70,954,50
Infiniti Q70,Infiniti,Q70,4479,50
Infiniti QX30,Infiniti,QX30,8101,50
Infiniti Q60,Infiniti,Q60,8405,50
Infiniti QX80,Infiniti,QX80,19207,50
Infiniti QX50,Infiniti,QX50,25389,50
Infiniti Q50,Infiniti,Q50,34763,50
Infiniti QX60,Infiniti,QX60,47370,50
Jaguar I-Pace,Jaguar,I-Pace,393,50
Jaguar XJ,Jaguar,XJ,1579,50
Jaguar XF,Jaguar,XF,2208,50
Jaguar F-Type,Jaguar,F-Type,2268,50
Jaguar XE,Jaguar,XE,4704,50
Jaguar E-Pace,Jaguar,E-Pace,5985,50
Jaguar F-Pace,Jaguar,F-Pace,12997,50
Jeep Patriot,Jeep,Patriot,621,50
Jeep Renegade,Jeep,Renegade,97062,50
Jeep Compass,Jeep,Compass,171167,50
Jeep Grand Cherokee,Jeep,Grand,224908,50
Jeep Cherokee,Jeep,Cherokee,239437,50
Jeep Wrangler,Jeep,Wrangler,240032,50
Kia K900,Kia,K900,354,50
Kia Cadenza,Kia,Cadenza,4507,50
Kia Stinger,Kia,Stinger,16806,50
Kia Rio,Kia,Rio,22975,50
Kia Niro,Kia,Niro,28232,50
Kia Sportage,Kia,Sportage,82823,50
Kia Optima,Kia,Optima,101603,50
Kia Forte,Kia,Forte,101890,50
Kia Soul,Kia,Soul,104709,50
Kia Sorento,Kia,Sorento,107846,50
Land Rover Discovery / LR4,Land,Rover,9842,50
Land Rover Range Rover Evoque,Land,Rover,9917,50
Land Rover Discovery Sport,Land,Rover,12035,50
Land Rover Range Rover Velar,Land,Rover,17037,50
Land Rover Range Rover,Land,Rover,19030,50
Land Rover Range Rover Sport,Land,Rover,24282,50
Lexus UX,Lexus,UX,453,50
Lexus LC,Lexus,LC,1979,50
Lexus RC,Lexus,RC,3358,50
Lexus LX,Lexus,LX,4753,50
Lexus GS,Lexus,GS,6604,50
Lexus LS,Lexus,LS,9301,50
Lexus IS,Lexus,IS,22927,50
Lexus GX,Lexus,GX,26724,50
Lexus ES,Lexus,ES,48482,50
Lexus NX,Lexus,NX,62079,50
Lexus RX,Lexus,RX,111636,50
Lincoln MKT,Lincoln,MKT,2324,50
Lincoln Continental,Lincoln,Continental,8758,50
Lincoln Navigator,Lincoln,Navigator,17839,50
Lincoln MKZ,Lincoln,MKZ,19852,50
Lincoln MKC,Lincoln,MKC,26241,50
Lincoln MKX/Nautilus,Lincoln,MKX,28573,50
Mazda MX-5 Miata,Mazda,MX-5 Miata,8971,50
Mazda CX-3,Mazda,CX-3,16899,50
Mazda CX-9,Mazda,CX-9,28257,50
Mazda 6,Mazda,Mazda 6,30938,50
Mazda 3,Mazda,Mazda 3,64638,50
Mazda CX-5,Mazda,CX-5,150622,50
Mercedes-Benz B-Class,Mercedes-Benz,B-Class,135,50
Mercedes-Benz AMG GT,Mercedes-Benz,AMG,1525,50
Mercedes-Benz SLC-Class,Mercedes-Benz,SLC-Class,1993,50
Mercedes-Benz SL-Class,Mercedes-Benz,SL-Class,2126,50
Mercedes-Benz G-Class,Mercedes-Benz,G-Class,3593,50
Mercedes-Benz S-Class,Mercedes-Benz,S-Class,14978,50
Mercedes-Benz GLS-Class,Mercedes-Benz,GLS-Class,21973,50
Mercedes-Benz GLA-Class,Mercedes-Benz,GLA-Class,24136,50
Mercedes-Benz CLA-Class,Mercedes-Benz,CLA-Class,26269,50
Mercedes-Benz GLE-Class,Mercedes-Benz,GLE-Class,46010,50
Mercedes-Benz E / CLS-Class,Mercedes-Benz,E-Class,46424,50
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,54829,50
Mercedes-Benz GLC-Class,Mercedes-Benz,GLC-Class,69729,50
Mini Countryman,Mini,Countryman,17565,50
Mini Cooper,Mini,Cooper,26119,50
Mitsubishi Outlander PHEV,Mitsubishi,Outlander,3866,50
Mitsubishi Eclipse Cross,Mitsubishi,Eclipse,9485,50
Mitsubishi Mirage,Mitsubishi,Mirage,24316,50
Mitsubishi Outlander Sport,Mitsubishi,Outlander,36867,50
Mitsubishi Outlander,Mitsubishi,Outlander,37952,50
Nissan GT-R,Nissan,GT-R,538,50
Nissan Juke,Nissan,Juke,731,50
Nissan 370Z,Nissan,370Z,3468,50
Nissan Leaf,Nissan,Leaf,14715,50
Nissan Kicks,Nissan,Kicks,23312,50
Nissan Armada,Nissan,Armada,32650,50
Nissan Maxima,Nissan,Maxima,42337,50
Nissan Pathfinder,Nissan,Pathfinder,67550,50
Nissan Versa,Nissan,Versa,75809,50
Nissan Murano,Nissan,Murano,83547,50
Nissan Altima,Nissan,Altima,209146,50
Nissan Sentra,Nissan,Sentra,213046,50
Nissan Rogue,Nissan,Rogue,412110,50
Porsche 718,Porsche,718,5276,50
Porsche Panamera,Porsche,Panamera,8114,50
Porsche 911,Porsche,911,9783,50
Porsche Cayenne,Porsche,Cayenne,11106,50
Porsche Macan,Porsche,Macan,22954,50
Smart ForTwo,Smart,ForTwo,1276,50
Subaru BRZ,Subaru,BRZ,3834,50
Subaru Impreza WRX,Subaru,Impreza,28730,50
Subaru Ascent,Subaru,Ascent,36211,50
Subaru Legacy,Subaru,Legacy,40109,50
Subaru Impreza,Subaru,Impreza,76400,50
Subaru CrossTrek,Subaru,CrossTrek,144384,50
Subaru Forester,Subaru,Forester,171613,50
Subaru Outback,Subaru,Outback,178854,50
Tesla Model X,Tesla,Model X,27250,50
Tesla Model S,Tesla,Model S,29950,50
Tesla Model 3,Tesla,Model 3,140317,50
Toyota Venza,Toyota,Venza,9,50
Toyota Mirai,Toyota,Mirai,1689,50
Toyota Land Cruiser,Toyota,Land,3235,50
Toyota 86 / FR-S,Toyota,86,4133,50
Toyota Sequoia,Toyota,Sequoia,11121,50
Toyota Yaris,Toyota,Yaris,27209,50
Toyota Avalon,Toyota,Avalon,33580,50
Toyota C-HR,Toyota,C-HR,49642,50
Toyota Prius Family,Toyota,Prius,87590,50
Toyota 4Runner,Toyota,4Runner,139694,50
Toyota Highlander,Toyota,Highlander,244511,50
Toyota Corolla,Toyota,Corolla,303732,50
Toyota Camry,Toyota,Camry,343439,50
Toyota RAV4,Toyota,RAV4,427168,50
Volkswagen CC,Volkswagen,CC,455,50
Volkswagen Touareg,Volkswagen,Touareg,2022,50
Volkswagen Beetle,Volkswagen,Beetle,14411,50
Volkswagen Passat,Volkswagen,Passat,41401,50
Volkswagen Golf,Volkswagen,Golf,42271,50
Volkswagen Atlas,Volkswagen,Atlas,59677,50
Volkswagen Jetta,Volkswagen,Jetta,90794,50
Volkswagen Tiguan,Volkswagen,Tiguan,103022,50
Volvo 90-Series,Volvo,S90,9892,50
Volvo 60-Series,Volvo,S60,12176,50
Volvo XC40,Volvo,XC40,12420,50
Volvo XC90,Volvo,XC90,31609,50
Volvo XC60,Volvo,XC60,32689,50